製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）
計測時ID,1,2,3
計測開始時刻,2024/6/17 12:32,2024/6/17 12:32,2024/6/17 12:32
サンプリング周波数,200,200,200
シーケンス数,5788,5788,5788
PGAゲイン,x12,x12,x12
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
コメント,,,
ファイル保存形式,演算データ,演算データ,演算データ
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV]
534,-0.0660508,-0.01110284,0.01129978
535,-0.00859177,-0.01019196,-0.03328389
536,0.11932473,0.00113244,-0.01322001
537,-0.05063977,0.00758243,-0.01999003
538,-0.04199876,0.01467249,0.03402244
539,0.02890184,-0.00329885,0.00145248
540,0.04876878,-0.00979807,0.00531755
541,-0.0064746,0.00076317,0.02370739
542,-0.02163945,0.00231412,0.02602151
543,-0.01383546,0.00608071,0.03096978
544,0.0947557,-0.00777937,0.02402743
545,-0.00317576,-0.00878872,-0.06149642
546,0.04830103,-0.00379121,0.01061047
547,-0.00438205,0.00723777,-0.03567186
548,-0.00844406,0.0087641,0.00933032
549,-0.19640451,-0.0138847,-0.01166906
550,0.02464288,-0.01688813,-0.05086133
